date1,working_days
1435708800000000000,23
1438387200000000000,21
1441065600000000000,22
1443657600000000000,22
1446336000000000000,20
1448928000000000000,22
1451606400000000000,15
1454284800000000000,20
1456790400000000000,21
1459468800000000000,21
1462060800000000000,19
1464739200000000000,21
1467331200000000000,21
1470009600000000000,23
1472688000000000000,22
1475280000000000000,21
1477958400000000000,21
1480550400000000000,22
1483228800000000000,17
1485907200000000000,18
1488326400000000000,22
1491004800000000000,20
1493596800000000000,20
1496275200000000000,21
1498867200000000000,21
1501545600000000000,23
1504224000000000000,21
1506816000000000000,22
1509494400000000000,21
1512086400000000000,21
1514764800000000000,17
1517443200000000000,19
1519862400000000000,20
1522540800000000000,21
1525132800000000000,20
